Id,Name,Team,Type,Price,IsForeigner,IsSpinner,IsFastBowler,Opener,Middle,Finisher,Newball,Death,Dependable
38,Rahul Tewatia,GT,AR,4,false,true,false,0,0,14,0,0,0
39,M Shahrukh Khan,GT,AR,4,false,false,false,0,0,14,0,0,0
40,Nicholas Pooran,LSG,BAT,21,true,false,false,0,0,14,0,0,0
41,Ravi Bishnoi,LSG,BOWL,11,false,true,false,0,0,0,0,0,14
42,Mayank Yadav,LSG,BOWL,11,false,false,true,0,0,0,0,0,0
43,Mohsin Khan,LSG,BOWL,4,false,false,true,0,0,0,0,0,0
44,Ayush Badoni,LSG,AR,4,false,true,false,0,0,14,0,0,0
45,Shashank Singh,PBKS,AR,5.5,false,false,true,0,0,14,0,0,0
46,Prabhsimran Singh,PBKS,BAT,4,false,false,false,14,0,0,0,0,0
47,Jos Buttler,GT,WKBAT,15.75,true,false,false,0,0,0,0,0,0
48,Shreyas Iyer,PBKS,BAT,26.75,false,false,false,0,0,0,0,0,0
49,Rishabh Pant,LSG,WKBAT,27,false,false,false,0,0,0,0,0,0
50,Kagiso Rabada,GT,BOWL,10.75,true,false,true,0,0,0,0,0,0
51,Arshdeep Singh,PBKS,BOWL,18,false,false,true,0,0,0,0,0,0
52,Mitchell Starc,DC,BOWL,11.75,true,false,true,0,0,0,0,0,0
53,Yuzvendra Chahal,PBKS,BOWL,18,false,true,false,0,0,0,0,0,0
54,Liam Livingstone,RCB,AR,8.75,true,true,false,0,0,0,0,0,0
55,David Miller,LSG,BAT,7.5,true,false,false,0,0,0,0,0,0
56,KL Rahul,DC,WKBAT,14,false,false,false,0,0,0,0,0,0
57,Mohammed Shami,SRH,BOWL,10,false,false,true,0,0,0,0,0,0
58,Mohammed Siraj,GT,BOWL,12.25,false,false,true,0,0,0,0,0,0
59,Harry Brook,DC,BAT,6.25,true,false,false,0,0,0,0,0,0
60,Devon Conway,CSK,WKBAT,6.25,true,false,false,0,0,0,0,0,0
61,Jake Fraser-McGurk,DC,BAT,9,true,false,false,0,0,0,0,0,0
62,Aiden Markram,LSG,BAT,2,true,false,false,0,0,0,0,0,0
63,Devdutt Padikkal,RCB,BAT,2,false,false,false,0,0,0,0,0,0
64,Rahul Tripathi,CSK,BAT,3.4,false,false,false,0,0,0,0,0,0
65,Ravichandran Ashwin,CSK,AR,9.75,false,true,false,0,0,0,0,0,0
66,Venkatesh Iyer,KKR,AR,23.75,false,false,true,0,0,0,0,0,0
67,Mitchell Marsh,LSG,AR,3.4,true,false,true,0,0,0,0,0,0
68,Glenn Maxwell,PBKS,AR,4.2,true,true,false,0,0,0,0,0,0
69,Harshal Patel,SRH,AR,8,false,false,true,0,0,0,0,0,0
70,Rachin Ravindra,CSK,AR,4,true,true,false,0,0,0,0,0,0
71,Marcus Stoinis,PBKS,AR,11,true,false,true,0,0,0,0,0,0
72,Quinton de Kock,KKR,WKBAT,3.6,true,false,false,0,0,0,0,0,0
73,Rahmanullah Gurbaz,KKR,WKBAT,2,true,false,false,0,0,0,0,0,0
74,Ishan Kishan,SRH,WKBAT,11.25,false,false,false,0,0,0,0,0,0
75,Phil Salt,RCB,WKBAT,11.5,true,false,false,0,0,0,0,0,0
76,Jitesh Sharma,RCB,WKBAT,11,false,false,false,0,0,0,0,0,0
77,Khaleel Ahmed,CSK,BOWL,4.8,false,false,true,0,0,0,0,0,0
